authorId,name
2152164720,Lianyuan Jin
2108692564,Wenbo Li
2155412720,Tianqing Wang
2118118699,Shifu Li
12619004,Kostas Stefanidis
1680709,Georgia Koutrika
1781993,E. Pitoura
1856878,U. F. Minhas
2640561,Shriram Rajagopalan
1873976,Brendan Cully
1704622,Ashraf Aboulnaga
145527641,K. Salem
1709411,A. Warfield
1746961,Tim Kraska
79404966,Mohammad Alizadeh
2638246,Alex Beutel
2226805,Ed H. Chi
66851124,Ani Kristo
39224358,Guillaume Leclerc
2512621,Hongzi Mao
2335477,Vikram Nathan
115513269,Miguel Ferreira
1747943,Pengcheng Xiong
2057505176,Yun Chi
1682028,Shenghuo Zhu
9521597,H. J. Moon
145932397,C. Pu
2274743,Hakan Hacıgümüş
2152202664,Won Kim
2070069813,D. Reiner
1751603,D. Batory
1918852,R. Caspi
2341667,Tomer Altman
2784885,K. Dreher
1886337,C. Fulcher
3096267,Pallavi Subhraveti
2685551,I. Keseler
38220252,Anamika Kothari
3274505,Markus Krummenacker
2234200,Mario Latendresse
1942463,L. Mueller
3168858,Quang Ong
1778825,Suzanne M. Paley
2176047,Anuradha Pujar
2653623,A. Shearer
97571985,Michael D. Travers
38431161,Deepika Weerasinghe
7914036,Peifen Zhang
1807113,P. Karp
2280834096,Manuel Rigger
38319925,Z. Su
1711630,R. Katarzyniak
1686547,Shyi-Ming Chen
1717127,W. Kießling
1888104,Mustafa Canim
1678202,G. Mihaila
49223443,Bishwaranjan Bhattacharjee
144812095,K. A. Ross
35250359,Christian A. Lang
47047681,Zichen Xu
48631331,Xiaorui Wang
144456394,D. Florescu
1691108,Donald Kossmann
1744383,M. Jarke
31785651,J. Koch
3182988,I. Tatarinov
1699540,Stratis Viglas
38690711,K. Beyer
1769868,J. Shanmugasundaram
2915064,E. Shekita
2124823801,Chun Zhang
1452726253,Ralf Hartmut Güting Dr.rer.nat
46934259,Kian-Lee Tan
2282960476,Dan Suciu
2244904176,Suraj Peri
144741052,J. Navarro
1762972,Ramars Amanchy
1784539,Troels Kristiansen
1764529,Chandra Kiran Jonnalagadda
1790441,V. Surendranath
34379241,Vidya Niranjan
1763327,Babylakshmi Muthusamy
145335162,T. K. Gandhi
152489654,M. Grønborg
47920425,N. Ibarrola
40647481,Nandan P. Deshpande
49948951,K. Shanker
52634391,H. Shivashankar
12854342,B. Rashmi
144451114,M. Ramya
2146630190,Zhixing Zhao
145284992,K. N. Chandrika
145570704,N. Padma
1759308,H. Harsha
1781674,A. J. Yatish
50060780,M. Kavitha
39885039,M. Menezes
145228576,D. R. Choudhury
4651839,Shubha Suresh
40542122,Neelanjana Ghosh
1789069,R. Saravana
36552013,Sreenath Chandran
2377581600,S. Krishna
39547962,Mary Joy
2055636722,S. Anand
14665085,V. Madavan
73214471,A. Joseph
12678691,G. W. Wong
2745664,W. Schiemann
1932605,S. Constantinescu
2129419329,L. Huang
1398174262,R. Khosravi‐Far
40341812,H. Steen
144099823,M. Tewari
49471267,S. Ghaffari
4027201,G. Blobe
144163967,C. Dang
2110139906,Joe G. N. Garcia
3116623,J. Pevsner
144037160,O. Jensen
2556236,P. Roepstorff
48735862,K. Deshpande
2186786,A. Chinnaiyan
2651905,A. Hamosh
143772209,A. Chakravarti
2245642242,Akhilesh Pandey
1687973,David Croft
1401181005,Gavin O'Kelly
2519682,Guanming Wu
2358245,R. Haw
50305260,M. Gillespie
152588940,L. Matthews
3335420,M. Caudy
1956799,Phani V. Garapati
143901956,Gopal R. Gopinath
9257465,B. Jassal
34432693,S. Jupe
2843644,Irina Kalatskaya
2560025,S. Mahajan
145248814,Bruce May
2627048,N. Ndegwa
8406593,E. Schmidt
2674400,V. Shamovsky
1969657,C. Yung
1702103,E. Birney
1785886,H. Hermjakob
1398276274,P. D’Eustachio
24917093,L. Stein
5151034,J. Naughton
145668856,Avi Pfeffer
144823472,P. Scheuermann
1776969,Goce Trajcevski
145531067,H. V. Jagadish
144030084,Adriane P. Chapman
2285160,Aaron Elkiss
1919291,Magesh Jayapandian
1718694,Yunyao Li
145781033,Arnab Nandi
40592227,Cong Yu
144118452,Pengfei Liu
30300197,Weizhe Yuan
41037252,Jinlan Fu
2669515,Zhengbao Jiang
50376014,Hiroaki Hayashi
1700325,Graham Neubig
144783904,Christopher D. Manning
1760868,M. Surdeanu
144661918,John Bauer
2784228,J. Finkel
2105138,Steven Bethard
2240597,David McClosky
2257007291,Thomas Wolf
1380459402,Lysandre Debut
51918868,Victor Sanh
40811585,Julien Chaumond
40899333,Clement Delangue
1382164294,Anthony Moi
1382164165,Pierric Cistac
1382164170,Tim Rault
2185329,Rémi Louf
97662964,Morgan Funtowicz
48776237,Joe Davison
88728159,Sam Shleifer
138609838,Patrick von Platen
2257128341,Clara Ma
2268491803,Yacine Jernite
3008389,J. Plu
2257127518,Canwen Xu
1379806208,Teven Le Scao
103682620,Sylvain Gugger
2125818054,Mariama Drame
2113836945,Quentin Lhoest
2260132137,Alexander M. Rush
2939803,R. Collobert
145183709,J. Weston
52184096,L. Bottou
21432929,Michael Karlen
2645384,K. Kavukcuoglu
46283650,Pavel P. Kuksa
2112677245,Yu Gu
1846722967,Robert Tinn
47413820,Hao Cheng
152277155,Michael R. Lucas
2637252,N. Usuyama
46522098,Xiaodong Liu
40466858,Tristan Naumann
1800422,Jianfeng Gao
1759772,Hoifung Poon
144418438,Hinrich Schütze
1705425,P. Kantor
2258715307,Stefan Feuerriegel
2188779058,Abdurahman Maarouf
50409419,Dominik Bär
2066388695,Dominique Geissler
14001634,Jonas Schweisthal
3254663,Nicolas Pröllochs
1632985630,Claire E. Robertson
2072426242,Steve Rathje
2225748600,Jochen Hartmann
2338461480,Saif M. Mohammad
1692988,O. Netzer
145641729,Alexandra A. Siegel
2387396750,Barbara Plank
116250487,Jay J. Van Bavel
1882574,Partha Pakray
2256600345,Alexander Gelbukh
1722399,Sivaji Bandyopadhyay
2350389158,Nadia Mushtaq Gardazi
2307845031,Ali Daud
2350474093,Muhammad Kamran Malik
2257968333,Amal Bukhari
83517045,Tariq Alsahfi
1403618037,Bader Alshemaimri
2061649994,Tom Young
8223433,Devamanyu Hazarika
1746416,Soujanya Poria
49943757,E. Cambria
50531624,Peng Qi
49889487,Yuhao Zhang
49889860,Yuhui Zhang
40756403,Jason Bolton
2305460817,Xue Jiang
2154480552,Weiren Wang
2152284834,Shaohan Tian
2353554007,Hao Wang
2891010,T. Lookman
2333182659,Yanjing Su
2084609980,Chengwei Qin
2085709,Aston Zhang
3322871,Zhuosheng Zhang
47739850,Jiaao Chen
19168196,Michihiro Yasunaga
2143919864,Diyi Yang
1710580,A. Berger
2714577,S. D. Pietra
39944066,V. D. Pietra
1875233,Bonan Min
2136457937,Hayley Ross
46185356,Elior Sulem
3460489,Amir Pouran Ben Veyseh
1811211,Thien Huu Nguyen
1724648481,Oscar Sainz
1733049,Eneko Agirre
2136480655,Ilana Heinz
144590225,Dan Roth
1767521,Xipeng Qiu
153345698,Tianxiang Sun
26339093,Yige Xu
95329799,Yunfan Shao
145493218,Ning Dai
1790227,Xuanjing Huang
39268412,Wiebke Wagner
40642935,Matt Gardner
40695489,Joel Grus
50043859,Mark Neumann
3385516,Oyvind Tafjord
2697425,Pradeep Dasigi
22243769,Nelson F. Liu
39139825,Matthew E. Peters
144874222,Michael Schmitz
1982950,Luke Zettlemoyer
153004464,Dan Otter
144932816,Julian R. Medina
34694214,J. Kalita
1746807,Dan Jurafsky
10796472,James H. Martin
2242855749,Barbara J. Grosz
2282500048,Hongzhi Zhang
31141756,M. O. Shafiq
2279024864,A. Joshi
3209719,Raj Dabre
