from,to
edition::sigmod conference::2019,proceeding::sigmod conference::2019
edition::sigmod conference::2018,proceeding::sigmod conference::2018
edition::international conference on field-programmable logic and applications::2018,proceeding::international conference on field-programmable logic and applications::2018
edition::sigmod conference::2015,proceeding::sigmod conference::2015
edition::sigmod conference::2015,proceeding::sigmod conference::2015
edition::international conference on computational logic::1999,proceeding::international conference on computational logic::1999
edition::conference on innovative data systems research::2017,proceeding::conference on innovative data systems research::2017
edition::sigmod conference::2014,proceeding::sigmod conference::2014
edition::sigmod conference::2012,proceeding::sigmod conference::2012
edition::international workshop on graph data management experiences and systems::2013,proceeding::international workshop on graph data management experiences and systems::2013
edition::international conference on mobile data management::2001,proceeding::international conference on mobile data management::2001
edition::acm sigmod conference::1984,proceeding::acm sigmod conference::1984
edition::conference on innovative data systems research::2019,proceeding::conference on innovative data systems research::2019
edition::sigmod conference::2006,proceeding::sigmod conference::2006
edition::ieee international conference on data engineering::2011,proceeding::ieee international conference on data engineering::2011
edition::usenix symposium on operating systems design and implementation::2020,proceeding::usenix symposium on operating systems design and implementation::2020
edition::very large data bases conference::2002,proceeding::very large data bases conference::2002
edition::ieee international conference on data engineering::2010,proceeding::ieee international conference on data engineering::2010
edition::acm sigmod conference::2002,proceeding::acm sigmod conference::2002
edition::alberto mendelzon workshop on foundations of data management::2018,proceeding::alberto mendelzon workshop on foundations of data management::2018
edition::acm sigact-sigmod-sigart symposium on principles of database systems::2004,proceeding::acm sigact-sigmod-sigart symposium on principles of database systems::2004
edition::very large data bases conference::2007,proceeding::very large data bases conference::2007
edition::very large data bases conference::1995,proceeding::very large data bases conference::1995
edition::acm sigmod conference::2007,proceeding::acm sigmod conference::2007
edition::international conference on computational logic::1999,proceeding::international conference on computational logic::1999
edition::international conference on machine learning::2008,proceeding::international conference on machine learning::2008
edition::conference on empirical methods in natural language processing::2023,proceeding::conference on empirical methods in natural language processing::2023
edition::international conference on computational logic::1996,proceeding::international conference on computational logic::1996
edition::international conference on computational logic::2000,proceeding::international conference on computational logic::2000
edition::conference on empirical methods in natural language processing::2015,proceeding::conference on empirical methods in natural language processing::2015
edition::conference on empirical methods in natural language processing::2021,proceeding::conference on empirical methods in natural language processing::2021
edition::international conference on machine learning::2015,proceeding::international conference on machine learning::2015
edition::conference on empirical methods in natural language processing::2022,proceeding::conference on empirical methods in natural language processing::2022
edition::conference of the european chapter of the association for computational linguistics::2021,proceeding::conference of the european chapter of the association for computational linguistics::2021
edition::conference on empirical methods in natural language processing::2022,proceeding::conference on empirical methods in natural language processing::2022
edition::symposium on field programmable gate arrays::2021,proceeding::symposium on field programmable gate arrays::2021
edition::international conference on language resources and evaluation::2020,proceeding::international conference on language resources and evaluation::2020
edition::usenix symposium on operating systems design and implementation::2022,proceeding::usenix symposium on operating systems design and implementation::2022
edition::european conference on computer systems::2018,proceeding::european conference on computer systems::2018
edition::international middleware conference::2017,proceeding::international middleware conference::2017
edition::european conference on computer systems::2017,proceeding::european conference on computer systems::2017
edition::international conference on architectural support for programming languages and operating systems::2016,proceeding::international conference on architectural support for programming languages and operating systems::2016
edition::ieee infocom 2007 - 26th ieee international conference on computer communications::2007,proceeding::ieee infocom 2007 - 26th ieee international conference on computer communications::2007
edition::international conference for internet technology and secured transactions::2016,proceeding::international conference for internet technology and secured transactions::2016
edition::usenix workshop on hot topics in cloud computing::2016,proceeding::usenix workshop on hot topics in cloud computing::2016
edition::symposium on networked systems design and implementation::2016,proceeding::symposium on networked systems design and implementation::2016
edition::symposium on operating systems principles::2015,proceeding::symposium on operating systems principles::2015
edition::acm-sigplan symposium on programming language design and implementation::2015,proceeding::acm-sigplan symposium on programming language design and implementation::2015
edition::symposium on networked systems design and implementation::2015,proceeding::symposium on networked systems design and implementation::2015
edition::symposium on networked systems design and implementation::2015,proceeding::symposium on networked systems design and implementation::2015
edition::symposium on operating systems principles::2015,proceeding::symposium on operating systems principles::2015
edition::usenix symposium on operating systems design and implementation::2022,proceeding::usenix symposium on operating systems design and implementation::2022
edition::symposium on networked systems design and implementation::2012,proceeding::symposium on networked systems design and implementation::2012
edition::international conference on computer graphics and interactive techniques::1987,proceeding::international conference on computer graphics and interactive techniques::1987
edition::ieee conference on mass storage systems and technologies::2010,proceeding::ieee conference on mass storage systems and technologies::2010
edition::usenix symposium on operating systems design and implementation::2006,proceeding::usenix symposium on operating systems design and implementation::2006
edition::usenix symposium on operating systems design and implementation::2014,proceeding::usenix symposium on operating systems design and implementation::2014
"edition::conference on applications, technologies, architectures, and protocols for computer communication::2014","proceeding::conference on applications, technologies, architectures, and protocols for computer communication::2014"
edition::usenix symposium on operating systems design and implementation::2017,proceeding::usenix symposium on operating systems design and implementation::2017
edition::international web rule symposium::2002,proceeding::international web rule symposium::2002
edition::usenix symposium on operating systems design and implementation::2006,proceeding::usenix symposium on operating systems design and implementation::2006
edition::ieee international conference on distributed computing systems::2017,proceeding::ieee international conference on distributed computing systems::2017
edition::ieee international parallel and distributed processing symposium::2019,proceeding::ieee international parallel and distributed processing symposium::2019
