editionId,editionNumber,year,city
edition::acm sigplan symposium on principles & practice of parallel programming::2020,2020,2020,
edition::usenix conference on file and storage technologies::2020,2020,2020,
"edition::2018 17th ieee international conference on trust, security and privacy in computing and communications/ 12th ieee international conference on big data science and engineering (trustcom/bigdatase)::2018",2018,2018,
edition::international conference on data science in cyberspace::2018,2018,2018,
edition::international conference on conceptual structures::2016,2016,2016,
edition::ieee international conference on data engineering::2012,2012,2012,
edition::proceedings / international conference on data engineering::1999,1999,1999,
edition::international symposium on information theory::2017,2017,2017,
edition::international symposium on information theory::2020,2020,2020,
edition::information theory workshop::2019,2019,2019,
edition::international symposium on information theory::2021,2021,2021,
edition::international symposium on information theory::2015,2015,2015,
edition::conference on empirical methods in natural language processing::2016,2016,2016,
edition::conference on empirical methods in natural language processing::2013,2013,2013,
edition::symposium on the theory of computing::2016,2016,2016,
edition::ieee international conference on computer vision::2015,2015,2015,
edition::information theory workshop::2020,2020,2020,
"edition::ieee international conference on acoustics, speech, and signal processing::2020",2020,2020,
edition::international symposium on information theory::2019,2019,2019,
edition::international symposium on information theory::2018,2018,2018,
edition::conference on empirical methods in natural language processing::2014,2014,2014,
edition::conference on empirical methods in natural language processing::2015,2015,2015,
edition::conference on empirical methods in natural language processing::2017,2017,2017,
edition::international workshop on semantic evaluation::2017,2017,2017,
edition::aaai conference on artificial intelligence::2018,2018,2018,
edition::annual conference computational learning theory::2018,2018,2018,
edition::ieee annual symposium on foundations of computer science::2019,2019,2019,
edition::conference on empirical methods in natural language processing::2019,2019,2019,
edition::conference on computational natural language learning::2016,2016,2016,
edition::conference on empirical methods in natural language processing::2006,2006,2006,
edition::conference on computational natural language learning::2003,2003,2003,
edition::european conference on computer vision::2014,2014,2014,
edition::international workshop on semantic evaluation::2014,2014,2014,
edition::ieee annual symposium on foundations of computer science::2017,2017,2017,
edition::conference of the european chapter of the association for computational linguistics::2016,2016,2016,
edition::international conference on computational linguistics::2004,2004,2004,
edition::scandinavian workshop on algorithm theory::2008,2008,2008,
edition::aaai conference on artificial intelligence::2015,2015,2015,
edition::2014 ieee conference on computer vision and pattern recognition::2013,2013,2013,
edition::conference on empirical methods in natural language processing::2018,2018,2018,
edition::european conference on computer vision::2013,2013,2013,
"edition::ieee international conference on acoustics, speech, and signal processing::2013",2013,2013,
edition::international conference on computational linguistics::2002,2002,2002,
edition::international conference on computational logic::2014,2014,2014,
"edition::ieee international conference on acoustics, speech, and signal processing::2011",2011,2011,
edition::2014 ieee conference on computer vision and pattern recognition workshops::2014,2014,2014,
edition::2012 ieee conference on computer vision and pattern recognition::2012,2012,2012,
edition::international workshop on semantic evaluation::2015,2015,2015,
edition::annual conference computational learning theory::2019,2019,2019,
edition::conference on empirical methods in natural language processing::2008,2008,2008,
edition::international conference on computational logic::2010,2010,2010,
edition::international conference on computational logic::2003,2003,2003,
edition::workshop on analytic algorithmics and combinatorics::2017,2017,2017,
edition::2014 ieee conference on computer vision and pattern recognition::2014,2014,2014,
edition::international conference on frontiers in handwriting recognition::2013,2013,2013,
edition::conference on machine translation::2016,2016,2016,
edition::conference on computational natural language learning::2015,2015,2015,
"edition::ieee international conference on acoustics, speech, and signal processing::2012",2012,2012,
edition::conference on empirical methods in natural language processing::2002,2002,2002,
edition::international conference on computational semantics::2010,2010,2010,
edition::2010 ieee computer society conference on computer vision and pattern recognition::2010,2010,2010,
edition::international conference on computational logic::2007,2007,2007,
edition::aaai conference on artificial intelligence::2012,2012,2012,
edition::conference on machine translation::2018,2018,2018,
edition::international conference on computational logic::2005,2005,2005,
edition::conference on computational natural language learning::2009,2009,2009,
edition::european conference on computer vision::2016,2016,2016,
edition::conference on computational natural language learning::2017,2017,2017,
"edition::2001 ieee international conference on acoustics, speech, and signal processing. proceedings (cat. no.01ch37221)::2001",2001,2001,
edition::british machine vision conference::2014,2014,2014,
edition::2013 ieee conference on computer vision and pattern recognition::2012,2012,2012,
edition::conference on computational natural language learning::2014,2014,2014,
edition::aaai conference on artificial intelligence::2010,2010,2010,
edition::acm conference on recommender systems::2013,2013,2013,
edition::british machine vision conference::2016,2016,2016,
edition::aaai conference on artificial intelligence::2011,2011,2011,
edition::international conference on computational logic::2006,2006,2006,
edition::applied natural language processing conference::1988,1988,1988,
edition::conference on empirical methods in natural language processing::2009,2009,2009,
edition::ieee workshop/winter conference on applications of computer vision::2015,2015,2015,
edition::international conference on computational semantics::2009,2009,2009,
