from,to
conference::sigmod conference,edition::sigmod conference::2019
conference::sigmod conference,edition::sigmod conference::2018
conference::international conference on field-programmable logic and applications,edition::international conference on field-programmable logic and applications::2018
conference::sigmod conference,edition::sigmod conference::2015
conference::sigmod conference,edition::sigmod conference::2015
conference::international conference on computational logic,edition::international conference on computational logic::1999
conference::conference on innovative data systems research,edition::conference on innovative data systems research::2017
conference::sigmod conference,edition::sigmod conference::2014
conference::sigmod conference,edition::sigmod conference::2012
workshop::international workshop on graph data management experiences and systems,edition::international workshop on graph data management experiences and systems::2013
conference::international conference on mobile data management,edition::international conference on mobile data management::2001
conference::acm sigmod conference,edition::acm sigmod conference::1984
conference::conference on innovative data systems research,edition::conference on innovative data systems research::2019
conference::sigmod conference,edition::sigmod conference::2006
conference::ieee international conference on data engineering,edition::ieee international conference on data engineering::2011
conference::usenix symposium on operating systems design and implementation,edition::usenix symposium on operating systems design and implementation::2020
conference::very large data bases conference,edition::very large data bases conference::2002
conference::ieee international conference on data engineering,edition::ieee international conference on data engineering::2010
conference::acm sigmod conference,edition::acm sigmod conference::2002
workshop::alberto mendelzon workshop on foundations of data management,edition::alberto mendelzon workshop on foundations of data management::2018
conference::acm sigact-sigmod-sigart symposium on principles of database systems,edition::acm sigact-sigmod-sigart symposium on principles of database systems::2004
conference::very large data bases conference,edition::very large data bases conference::2007
conference::very large data bases conference,edition::very large data bases conference::1995
conference::acm sigmod conference,edition::acm sigmod conference::2007
conference::international conference on computational logic,edition::international conference on computational logic::1999
conference::international conference on machine learning,edition::international conference on machine learning::2008
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2023
conference::international conference on computational logic,edition::international conference on computational logic::1996
conference::international conference on computational logic,edition::international conference on computational logic::2000
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2015
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2021
conference::international conference on machine learning,edition::international conference on machine learning::2015
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2022
conference::conference of the european chapter of the association for computational linguistics,edition::conference of the european chapter of the association for computational linguistics::2021
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2022
conference::symposium on field programmable gate arrays,edition::symposium on field programmable gate arrays::2021
conference::international conference on language resources and evaluation,edition::international conference on language resources and evaluation::2020
conference::usenix symposium on operating systems design and implementation,edition::usenix symposium on operating systems design and implementation::2022
conference::european conference on computer systems,edition::european conference on computer systems::2018
conference::international middleware conference,edition::international middleware conference::2017
conference::european conference on computer systems,edition::european conference on computer systems::2017
conference::international conference on architectural support for programming languages and operating systems,edition::international conference on architectural support for programming languages and operating systems::2016
conference::ieee infocom 2007 - 26th ieee international conference on computer communications,edition::ieee infocom 2007 - 26th ieee international conference on computer communications::2007
conference::international conference for internet technology and secured transactions,edition::international conference for internet technology and secured transactions::2016
workshop::usenix workshop on hot topics in cloud computing,edition::usenix workshop on hot topics in cloud computing::2016
conference::symposium on networked systems design and implementation,edition::symposium on networked systems design and implementation::2016
conference::symposium on operating systems principles,edition::symposium on operating systems principles::2015
conference::acm-sigplan symposium on programming language design and implementation,edition::acm-sigplan symposium on programming language design and implementation::2015
conference::symposium on networked systems design and implementation,edition::symposium on networked systems design and implementation::2015
conference::symposium on networked systems design and implementation,edition::symposium on networked systems design and implementation::2015
conference::symposium on operating systems principles,edition::symposium on operating systems principles::2015
conference::usenix symposium on operating systems design and implementation,edition::usenix symposium on operating systems design and implementation::2022
conference::symposium on networked systems design and implementation,edition::symposium on networked systems design and implementation::2012
conference::international conference on computer graphics and interactive techniques,edition::international conference on computer graphics and interactive techniques::1987
conference::ieee conference on mass storage systems and technologies,edition::ieee conference on mass storage systems and technologies::2010
conference::usenix symposium on operating systems design and implementation,edition::usenix symposium on operating systems design and implementation::2006
conference::usenix symposium on operating systems design and implementation,edition::usenix symposium on operating systems design and implementation::2014
"conference::conference on applications, technologies, architectures, and protocols for computer communication","edition::conference on applications, technologies, architectures, and protocols for computer communication::2014"
conference::usenix symposium on operating systems design and implementation,edition::usenix symposium on operating systems design and implementation::2017
conference::international web rule symposium,edition::international web rule symposium::2002
conference::usenix symposium on operating systems design and implementation,edition::usenix symposium on operating systems design and implementation::2006
conference::ieee international conference on distributed computing systems,edition::ieee international conference on distributed computing systems::2017
conference::ieee international parallel and distributed processing symposium,edition::ieee international parallel and distributed processing symposium::2019
conference::proceeding of the 2001 winter simulation conference (cat. no.01ch37304),edition::proceeding of the 2001 winter simulation conference (cat. no.01ch37304)::2001
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2014
conference::international conference on learning representations,edition::international conference on learning representations::2013
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2013
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2019
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2016
conference::international conference on learning representations,edition::international conference on learning representations::2019
conference::international conference on learning representations,edition::international conference on learning representations::2014
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2014
conference::international conference on learning representations,edition::international conference on learning representations::2014
workshop::proceedings of the 2nd clinical natural language processing workshop,edition::proceedings of the 2nd clinical natural language processing workshop::2019
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2014
conference::international conference on machine learning,edition::international conference on machine learning::2014
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2019
conference::international conference on computational linguistics,edition::international conference on computational linguistics::2018
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2021
conference::conference of the european chapter of the association for computational linguistics,edition::conference of the european chapter of the association for computational linguistics::2020
conference::conference on computational natural language learning,edition::conference on computational natural language learning::2003
conference::international conference on machine learning,edition::international conference on machine learning::2001
conference::international conference on computational logic,edition::international conference on computational logic::1993
conference::international conference on machine learning,edition::international conference on machine learning::2015
conference::international conference on machine learning,edition::international conference on machine learning::2019
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2019
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2017
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2019
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2017
conference::international conference on language resources and evaluation,edition::international conference on language resources and evaluation::2019
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2018
conference::international conference on machine learning,edition::international conference on machine learning::2017
workshop::machine learning challenges workshop,edition::machine learning challenges workshop::2005
conference::international joint conference on natural language processing,edition::international joint conference on natural language processing::2005
conference::aaai spring symposium: logical formalizations of commonsense reasoning,edition::aaai spring symposium: logical formalizations of commonsense reasoning::2011
conference::ieee international conference on computer vision,edition::ieee international conference on computer vision::2015
workshop::international workshop on semantic evaluation,edition::international workshop on semantic evaluation::2017
conference::text analysis conference,edition::text analysis conference::2009
conference::text analysis conference,edition::text analysis conference::2011
conference::international conference on machine learning,edition::international conference on machine learning::2019
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2017
conference::text analysis conference,edition::text analysis conference::2008
conference::2009 ieee conference on computer vision and pattern recognition,edition::2009 ieee conference on computer vision and pattern recognition::2009
conference::aaai spring symposium: logical formalizations of commonsense reasoning,edition::aaai spring symposium: logical formalizations of commonsense reasoning::2011
conference::conference on empirical methods in natural language processing,edition::conference on empirical methods in natural language processing::2013
