proceedingId
proceeding::acm sigplan symposium on principles & practice of parallel programming::2020
proceeding::usenix conference on file and storage technologies::2020
"proceeding::2018 17th ieee international conference on trust, security and privacy in computing and communications/ 12th ieee international conference on big data science and engineering (trustcom/bigdatase)::2018"
proceeding::international conference on data science in cyberspace::2018
proceeding::international conference on conceptual structures::2016
proceeding::ieee international conference on data engineering::2012
proceeding::proceedings / international conference on data engineering::1999
proceeding::international symposium on information theory::2017
proceeding::international symposium on information theory::2020
proceeding::information theory workshop::2019
proceeding::international symposium on information theory::2021
proceeding::international symposium on information theory::2015
proceeding::conference on empirical methods in natural language processing::2016
proceeding::conference on empirical methods in natural language processing::2013
proceeding::symposium on the theory of computing::2016
proceeding::ieee international conference on computer vision::2015
proceeding::information theory workshop::2020
"proceeding::ieee international conference on acoustics, speech, and signal processing::2020"
proceeding::international symposium on information theory::2019
proceeding::international symposium on information theory::2018
proceeding::conference on empirical methods in natural language processing::2014
proceeding::conference on empirical methods in natural language processing::2015
proceeding::conference on empirical methods in natural language processing::2017
proceeding::international workshop on semantic evaluation::2017
proceeding::aaai conference on artificial intelligence::2018
proceeding::annual conference computational learning theory::2018
proceeding::ieee annual symposium on foundations of computer science::2019
proceeding::conference on empirical methods in natural language processing::2019
proceeding::conference on computational natural language learning::2016
proceeding::conference on empirical methods in natural language processing::2006
proceeding::conference on computational natural language learning::2003
proceeding::european conference on computer vision::2014
proceeding::international workshop on semantic evaluation::2014
proceeding::ieee annual symposium on foundations of computer science::2017
proceeding::conference of the european chapter of the association for computational linguistics::2016
proceeding::international conference on computational linguistics::2004
proceeding::scandinavian workshop on algorithm theory::2008
proceeding::aaai conference on artificial intelligence::2015
proceeding::2014 ieee conference on computer vision and pattern recognition::2013
proceeding::conference on empirical methods in natural language processing::2018
proceeding::european conference on computer vision::2013
"proceeding::ieee international conference on acoustics, speech, and signal processing::2013"
proceeding::international conference on computational linguistics::2002
proceeding::international conference on computational logic::2014
"proceeding::ieee international conference on acoustics, speech, and signal processing::2011"
proceeding::2014 ieee conference on computer vision and pattern recognition workshops::2014
proceeding::2012 ieee conference on computer vision and pattern recognition::2012
proceeding::international workshop on semantic evaluation::2015
proceeding::annual conference computational learning theory::2019
proceeding::conference on empirical methods in natural language processing::2008
proceeding::international conference on computational logic::2010
proceeding::international conference on computational logic::2003
proceeding::workshop on analytic algorithmics and combinatorics::2017
proceeding::2014 ieee conference on computer vision and pattern recognition::2014
proceeding::international conference on frontiers in handwriting recognition::2013
proceeding::conference on machine translation::2016
proceeding::conference on computational natural language learning::2015
"proceeding::ieee international conference on acoustics, speech, and signal processing::2012"
proceeding::conference on empirical methods in natural language processing::2002
proceeding::international conference on computational semantics::2010
proceeding::2010 ieee computer society conference on computer vision and pattern recognition::2010
proceeding::international conference on computational logic::2007
proceeding::aaai conference on artificial intelligence::2012
proceeding::conference on machine translation::2018
proceeding::international conference on computational logic::2005
proceeding::conference on computational natural language learning::2009
proceeding::european conference on computer vision::2016
proceeding::conference on computational natural language learning::2017
"proceeding::2001 ieee international conference on acoustics, speech, and signal processing. proceedings (cat. no.01ch37221)::2001"
proceeding::british machine vision conference::2014
proceeding::2013 ieee conference on computer vision and pattern recognition::2012
proceeding::conference on computational natural language learning::2014
proceeding::aaai conference on artificial intelligence::2010
proceeding::acm conference on recommender systems::2013
proceeding::british machine vision conference::2016
proceeding::aaai conference on artificial intelligence::2011
proceeding::international conference on computational logic::2006
proceeding::applied natural language processing conference::1988
proceeding::conference on empirical methods in natural language processing::2009
proceeding::ieee workshop/winter conference on applications of computer vision::2015
proceeding::international conference on computational semantics::2009
