from,to
c8a717f1ec7cfc38a98a1950b4df2f63eb7f8447,proceeding::sigmod conference::2019
8e051d8957573ddd91b8a2cd9fe5362c94750258,proceeding::sigmod conference::2018
42de705792690350e6bd4eb9d9bb6bfcecebc34b,proceeding::international conference on field-programmable logic and applications::2018
2e50af2320dab632d8046b6d4c130ae6cce8903f,proceeding::sigmod conference::2015
67eb4c1794be54919266f70b5bf8ba7a6824f091,proceeding::sigmod conference::2015
d87ceda3042f781c341ac17109d1e94a717f5f60,proceeding::international conference on computational logic::1999
20f4ebe5ac1af3b22f28595d7878ce7b050297aa,proceeding::conference on innovative data systems research::2017
f7279b6f6e88eda849cd3d75d3389c258bf62b7c,proceeding::sigmod conference::2014
9748241beb02ef1e2d0e6dc877c04b354033a838,proceeding::sigmod conference::2012
5bfae15ad73d4bfbc25b90c731a3d3dd44f2774c,proceeding::international workshop on graph data management experiences and systems::2013
83a500fcc7cd98db063b73461277ac885c8fe7c3,proceeding::international conference on mobile data management::2001
ef47742e72bd64fb1ae5359cd6d5dd6dfad34dc8,proceeding::acm sigmod conference::1984
e54414dca2e8bc0da410db0b7d08fee4651d2357,proceeding::conference on innovative data systems research::2019
e2a5593f587970018b9e826e5d876125b374b801,proceeding::sigmod conference::2006
a4d965361223e4a9aaf010eb5a3d8e1673d11c19,proceeding::ieee international conference on data engineering::2011
26ca95a72994fdba1c1855eb6b699f98c992b5f4,proceeding::usenix symposium on operating systems design and implementation::2020
5160fb34a6719bbf8d60743d0d27db0ed5df3d2a,proceeding::very large data bases conference::2002
71809d928768af9995271feb8ba6135b311db83b,proceeding::ieee international conference on data engineering::2010
6dc7b1da99e30592b54f2148c85e8725563011f7,proceeding::acm sigmod conference::2002
91d6e8ba5dd90b02fe3bd870b19da13a6167af53,proceeding::alberto mendelzon workshop on foundations of data management::2018
f86cefe05621180a48856c9f23a55bf587d7476b,proceeding::acm sigact-sigmod-sigart symposium on principles of database systems::2004
1b2457906994b5942b0ecc6e0ca38e2e3b2450c7,proceeding::very large data bases conference::2007
92eb47aa10d5fa3d09b1f8d91a398ae29ce5bc1e,proceeding::very large data bases conference::1995
9a367afec7ade7e7d722f49f8336fc3bebf9c397,proceeding::acm sigmod conference::2007
084c55d6432265785e3ff86a2e900a49d501c00a,proceeding::international conference on computational logic::1999
57458bc1cffe5caa45a885af986d70f723f406b4,proceeding::international conference on machine learning::2008
873a581320d928249609d3c07229d5af182a379c,proceeding::conference on empirical methods in natural language processing::2023
fb486e03369a64de2d5b0df86ec0a7b55d3907db,proceeding::international conference on computational logic::1996
1254c99a381d1f9d6abb23c74be060e4e7876985,proceeding::international conference on computational logic::2000
f04df4e20a18358ea2f689b4c129781628ef7fc1,proceeding::conference on empirical methods in natural language processing::2015
