from,to,corresponding
1787654,d4921d6c5dfd0741026028745b63b450e4e81cd1,true
2110006108,d4921d6c5dfd0741026028745b63b450e4e81cd1,false
1736223,d4921d6c5dfd0741026028745b63b450e4e81cd1,false
144810364,d4921d6c5dfd0741026028745b63b450e4e81cd1,false
46923641,d4921d6c5dfd0741026028745b63b450e4e81cd1,false
47656499,d4921d6c5dfd0741026028745b63b450e4e81cd1,false
143993045,2e50af2320dab632d8046b6d4c130ae6cce8903f,true
34869678,2e50af2320dab632d8046b6d4c130ae6cce8903f,false
144122431,2e50af2320dab632d8046b6d4c130ae6cce8903f,false
35030780,5ac89807cf791fbcbfd8b856273fafcc3cf0889f,true
35396082,5ac89807cf791fbcbfd8b856273fafcc3cf0889f,false
1693757,607e9f713804cbaaf229dea4255bcd75d79489c5,true
2848677,607e9f713804cbaaf229dea4255bcd75d79489c5,false
2115846924,607e9f713804cbaaf229dea4255bcd75d79489c5,false
11938896,607e9f713804cbaaf229dea4255bcd75d79489c5,false
8973902,607e9f713804cbaaf229dea4255bcd75d79489c5,false
143961802,607e9f713804cbaaf229dea4255bcd75d79489c5,false
52194344,607e9f713804cbaaf229dea4255bcd75d79489c5,false
32255635,607e9f713804cbaaf229dea4255bcd75d79489c5,false
145983446,607e9f713804cbaaf229dea4255bcd75d79489c5,false
52185389,607e9f713804cbaaf229dea4255bcd75d79489c5,false
143776381,607e9f713804cbaaf229dea4255bcd75d79489c5,false
3168698,67eb4c1794be54919266f70b5bf8ba7a6824f091,true
2370779839,67eb4c1794be54919266f70b5bf8ba7a6824f091,false
49643216,67eb4c1794be54919266f70b5bf8ba7a6824f091,false
144082682,f984ab6e0cde98397c9ccc74fb8b98bb3ff61818,true
2426897,f984ab6e0cde98397c9ccc74fb8b98bb3ff61818,false
1742391,f322e882eec09709f7f7c2d7824722509b79f5e9,true
2260292908,d87ceda3042f781c341ac17109d1e94a717f5f60,true
2812268,4bba202eee798202e214cbc6bfca6a78e3f26342,true
1765659,bef5bdc4d49c9da09d125f4d86b15509ebff52cd,true
39941882,bef5bdc4d49c9da09d125f4d86b15509ebff52cd,false
1737944,9e9801ef47bff55074165440a17d5122520837a2,true
2387538,9e9801ef47bff55074165440a17d5122520837a2,false
144337823,9e9801ef47bff55074165440a17d5122520837a2,false
2077580009,8b3b8848a311c501e704c45c6d50430ab7068956,true
2676982,8b3b8848a311c501e704c45c6d50430ab7068956,false
1930964,8b3b8848a311c501e704c45c6d50430ab7068956,false
1685292,8b3b8848a311c501e704c45c6d50430ab7068956,false
1981539,8b3b8848a311c501e704c45c6d50430ab7068956,false
2336083170,20f4ebe5ac1af3b22f28595d7878ce7b050297aa,true
2336089979,20f4ebe5ac1af3b22f28595d7878ce7b050297aa,false
2336090500,20f4ebe5ac1af3b22f28595d7878ce7b050297aa,false
40270373,20f4ebe5ac1af3b22f28595d7878ce7b050297aa,false
2740804,1f102935cc21d54f91ae70c09d84157b6011e6dd,true
144406831,1f102935cc21d54f91ae70c09d84157b6011e6dd,false
143666627,1f102935cc21d54f91ae70c09d84157b6011e6dd,false
38565890,1f102935cc21d54f91ae70c09d84157b6011e6dd,false
1695576,1f102935cc21d54f91ae70c09d84157b6011e6dd,false
