volumeId,volumeNumber,year
"volume::ieee transactions on systems, man, and cybernetics: systems::2019",2019,2019
volume::international journal of systems science::2016,2016,2016
volume::at - automatisierungstechnik::2017,2017,2017
volume::ieee transactions on smart grid::2018,2018,2018
volume::cacm::1974,1974,1974
volume::neural information processing systems::2012,2012,2012
volume::acm computing surveys::2014,2014,2014
volume::acm computing surveys::2019,2019,2019
volume::ieee power & energy society general meeting::2016,2016,2016
volume::ieee transactions on power systems::2016,2016,2016
volume::annual reviews in control::2019,2019,2019
volume::knowledge and information systems::2021,2021,2021
volume::ieee transactions on automatic control::2016,2016,2016
volume::ieee transactions on cybernetics::2020,2020,2020
"volume::ieee transactions on systems, man, and cybernetics: systems::2020",2020,2020
volume::future generations computer systems::2017,2017,2017
volume::at - automatisierungstechnik::2016,2016,2016
volume::ieee transactions on automatic control::2011,2011,2011
volume::ieee communications surveys and tutorials::2012,2012,2012
volume::j. parallel distributed comput.::2013,2013,2013
volume::power engineering society summer meeting::2000,2000,2000
volume::journal of computer and system sciences (print)::2013,2013,2013
volume::ieee transactions on automatic control::2013,2013,2013
volume::measurement and modeling of computer systems::2017,2017,2017
volume::csur::2009,2009,2009
volume::neural information processing systems::2017,2017,2017
volume::journal of machine learning research::2019,2019,2019
volume::north american chapter of the association for computational linguistics::2018,2018,2018
volume::neural computation::1997,1997,1997
volume::neural information processing systems::2020,2020,2020
volume::bioinform.::2019,2019,2019
volume::neural information processing systems::2019,2019,2019
volume::blackboxnlp@emnlp::2018,2018,2018
volume::transactions of the association for computational linguistics::2016,2016,2016
volume::neural information processing systems::2014,2014,2014
volume::acm multimedia::2014,2014,2014
volume::findings::2019,2019,2019
volume::transactions of the association for computational linguistics::2019,2019,2019
volume::arxiv.org::2014,2014,2014
volume::journal of machine learning research::2003,2003,2003
volume::proceedings of the ieee::1998,1998,1998
volume::computer vision and pattern recognition::2015,2015,2015
volume::communications of the acm::2012,2012,2012
volume::machine-mediated learning::1997,1997,1997
volume::bioinform.::2017,2017,2017
volume::database j. biol. databases curation::2016,2016,2016
volume::ieee transactions on knowledge and data engineering::2010,2010,2010
volume::ssst@emnlp::2014,2014,2014
volume::computer vision and pattern recognition::2014,2014,2014
volume::arxiv.org::2020,2020,2020
volume::transactions of the association for computational linguistics::2020,2020,2020
volume::annual meeting of the association for computational linguistics::2016,2016,2016
volume::annual meeting of the association for computational linguistics::2018,2018,2018
volume::program::1997,1997,1997
volume::journal of biomedical informatics::2014,2014,2014
volume::annual meeting of the association for computational linguistics::2017,2017,2017
volume::neural information processing systems::2015,2015,2015
volume::neural information processing systems::2013,2013,2013
volume::north american chapter of the association for computational linguistics::2017,2017,2017
volume::annual meeting of the association for computational linguistics::2015,2015,2015
volume::arxiv.org::2013,2013,2013
volume::interspeech::2010,2010,2010
volume::annual meeting of the association for computational linguistics::2010,2010,2010
volume::annual meeting of the association for computational linguistics::2005,2005,2005
volume::annual meeting of the association for computational linguistics::2002,2002,2002
volume::north american chapter of the association for computational linguistics::2016,2016,2016
volume::lecture notes in computer science::2006,2006,2006
volume::arxiv.org::2012,2012,2012
volume::annual meeting of the association for computational linguistics::2011,2011,2011
volume::blackboxnlp@acl::2019,2019,2019
volume::cognitive sciences::1990,1990,1990
volume::journal of machine learning research::2014,2014,2014
volume::acl-pascal@acl::2007,2007,2007
volume::nature::1986,1986,1986
volume::international journal of computer vision::2014,2014,2014
volume::north american chapter of the association for computational linguistics::2021,2021,2021
volume::journal of machine learning research::2005,2005,2005
volume::scientific data::2016,2016,2016
volume::interspeech::2013,2013,2013
volume::rep4nlp@acl::2016,2016,2016
volume::neural networks::2005,2005,2005
volume::human language technology - the baltic perspectiv::1995,1995,1995
volume::annual meeting of the association for computational linguistics::2004,2004,2004
volume::knowledge discovery and data mining::2004,2004,2004
volume::coco@nips::2016,2016,2016
volume::emnlp-conll shared task::2012,2012,2012
volume::ieee transactions on signal processing::1997,1997,1997
volume::ieee trans. neural networks::1994,1994,1994
volume::north american chapter of the association for computational linguistics::2006,2006,2006
volume::annual meeting of the association for computational linguistics::2003,2003,2003
volume::ieee signal processing magazine::2012,2012,2012
volume::language resources and evaluation::2005,2005,2005
volume::annual meeting of the association for computational linguistics::2007,2007,2007
volume::international journal of computer vision::2015,2015,2015
volume::transactions of the association for computational linguistics::2014,2014,2014
volume::ieee transactions on acoustics speech and signal processing::1989,1989,1989
volume::north american chapter of the association for computational linguistics::2015,2015,2015
volume::north american chapter of the association for computational linguistics::2003,2003,2003
volume::neural information processing systems::2016,2016,2016
volume::annual meeting of the association for computational linguistics::2012,2012,2012
"volume::ieee transactions on audio, speech, and language processing::2012",2012,2012
volume::neural information processing systems::2011,2011,2011
volume::north american chapter of the association for computational linguistics::2013,2013,2013
volume::ethnlp@eacl::2017,2017,2017
volume::machine translation summit::2017,2017,2017
volume::neural information processing systems::2006,2006,2006
volume::studies in computational intelligence::2012,2012,2012
volume::interspeech::2012,2012,2012
volume::neural information processing systems::2008,2008,2008
volume::interspeech::2011,2011,2011
volume::journal of artificial intelligence research::2013,2013,2013
volume::transactions of the association for computational linguistics::2017,2017,2017
volume::science::2016,2016,2016
volume::scholarpedia::2008,2008,2008
volume::wmt@acl::2014,2014,2014
volume::international journal of computer vision::2010,2010,2010
volume::neural computation::1989,1989,1989
volume::ieee transactions on big data::2017,2017,2017
volume::international journal of computer vision::2013,2013,2013
volume::ieee transactions on pattern analysis and machine intelligence::2013,2013,2013
volume::cognitive sciences::2010,2010,2010
volume::annual meeting of the association for computational linguistics::2013,2013,2013
volume::ieee transactions on neural networks and learning systems::2015,2015,2015
volume::neural computation::2006,2006,2006
volume::neural networks::2012,2012,2012
volume::journal of artificial intelligence research::2010,2010,2010
volume::neural computation::2000,2000,2000
volume::machine-mediated learning::1991,1991,1991
volume::machine-mediated learning::2004,2004,2004
volume::proceedings of the national academy of sciences of the united states of america::2017,2017,2017
volume::tois::2002,2002,2002
volume::proceedings of the ieee::1990,1990,1990
volume::machine translation summit::2005,2005,2005
volume::ieee transactions on pattern analysis and machine intelligence::2010,2010,2010
volume::wmt@emnlp::2015,2015,2015
volume::mturk@hlt-naacl::2010,2010,2010
volume::annual meeting of the association for computational linguistics::2008,2008,2008
volume::ieee transactions on pattern analysis and machine intelligence::2012,2012,2012
volume::annual meeting of the association for computational linguistics::1996,1996,1996
volume::ieee transactions on pattern analysis and machine intelligence::2009,2009,2009
volume::archives de pédiatrie::2008,2008,2008
volume::repl4nlp@acl::2019,2019,2019
volume::news@acl::2015,2015,2015
volume::annual meeting of the association for computational linguistics::2006,2006,2006
volume::annual meeting of the association for computational linguistics::1998,1998,1998
volume::journal of machine learning research::2012,2012,2012
volume::cacm::1965,1965,1965
volume::computer speech and language::2007,2007,2007
volume::interspeech::2014,2014,2014
volume::fat::2018,2018,2018
volume::nlpba/bionlp::2004,2004,2004
volume::transactions of the association for computational linguistics::2015,2015,2015
volume::lifelongnlp::2020,2020,2020
volume::international journal of semantic computing::2016,2016,2016
volume::ieevaluation@acl::2005,2005,2005
volume::found. trends mach. learn.::2007,2007,2007
volume::proceedings of the ieee::2010,2010,2010
volume::interspeech::2002,2002,2002
volume::journal of machine learning research::2004,2004,2004
volume::knowledge discovery and data mining::2006,2006,2006
volume::conll/lll::2000,2000,2000
volume::artificial intelligence::1990,1990,1990
volume::neural networks::1988,1988,1988
volume::neural information processing systems::2018,2018,2018
volume::annual meeting of the association for computational linguistics::1999,1999,1999
volume::north american chapter of the association for computational linguistics::2012,2012,2012
volume::wlm@naacl-hlt::2012,2012,2012
volume::ieee transactions on neural networks::2008,2008,2008
volume::machine-mediated learning::2010,2010,2010
volume::computer speech and language::2001,2001,2001
volume::clicit::2019,2019,2019
volume::nut@ijcnlp::2015,2015,2015
volume::hlt-naacl 2003::2003,2003,2003
volume::knowledge discovery and data mining::2014,2014,2014
volume::journal of personality and social psychology::1998,1998,1998
volume::neural information processing systems::1989,1989,1989
volume::annual meeting of the association for computational linguistics::2009,2009,2009
volume::nucleic acids res.::2004,2004,2004
volume::computer vision and pattern recognition::2016,2016,2016
volume::the ai magazine::2010,2010,2010
volume::cacm::2013,2013,2013
volume::information technology convergence and services::2011,2011,2011
volume::ieee transactions on pattern analysis and machine intelligence::2011,2011,2011
volume::nmt@acl::2017,2017,2017
volume::north american chapter of the association for computational linguistics::2004,2004,2004
volume::cognition::1993,1993,1993
volume::north american chapter of the association for computational linguistics::2009,2009,2009
volume::north american chapter of the association for computational linguistics::2014,2014,2014
volume::journal of machine learning research::2010,2010,2010
volume::ieee transactions on pattern analysis and machine intelligence::2015,2015,2015
volume::international journal of computer vision::2004,2004,2004
volume::cvsm@acl::2013,2013,2013
volume::cacm::2008,2008,2008
volume::quantum interaction::2007,2007,2007
volume::ieee transactions on pattern analysis and machine intelligence::2014,2014,2014
volume::computer vision and pattern recognition::2011,2011,2011
volume::computer vision and pattern recognition::2005,2005,2005
volume::wmt@emnlp::2011,2011,2011
volume::proceedings of the ieee::2013,2013,2013
volume::icml unsupervised and transfer learning::2011,2011,2011
volume::behavior research methods::2007,2007,2007
volume::biochimica et biophysica acta::1975,1975,1975
volume::vlc@acl::1995,1995,1995
volume::journal of artificial intelligence research::2012,2012,2012
